artifact_id,phase,path,exists,size_bytes,last_write_time_utc,admission_mode,retrieval_mode,description,key_metrics_json
attack_core_stability_20260425_105821,pre_v2_attack_core,output/benchmark_analysis/attack_core_stability_20260425_105821.json,True,1601,2026-04-25T02:58:21.827349+00:00,none,none,Attack-core stability snapshot for successor and predecessor arxiv cases.,"{""tmc-chordtools-v1-predecessor-arxiv-q01.harvest_rate_mean"": 1.0, ""tmc-chordtools-v1-predecessor-arxiv-q01.hijack_rate_mean"": 0.1429, ""tmc-chordtools-v1-predecessor-arxiv-q01.pollute_rate_mean"": 0.0, ""tmc-chordtools-v1-successor-arxiv-q01.harvest_rate_mean"": 0.5, ""tmc-chordtools-v1-successor-arxiv-q01.hijack_rate_mean"": 1.0, ""tmc-chordtools-v1-successor-arxiv-q01.pollute_rate_mean"": 1.0}"
prompt_family_batch_20260426_040501,pre_v2_admission_prompt_families,output/benchmark_memory/prompt_family_batch/20260426_040501/batch_summary.json,True,212627,2026-04-26T04:17:08.256015+00:00,"direct,mem0_additive",token,Admission-aware prompt-family batch comparing direct and mem0_additive.,"{""pairwise_comparison_count"": 8, ""row_count"": 0}"
update_conflict_experiment,pre_v2_update_conflict,output/benchmark_memory/update_conflict_experiment/update_conflict_summary.json,True,151021,2026-04-26T05:32:06.346762+00:00,mem0_additive,token,Benign default plus malicious update conflict experiment.,"{""conflict_relation"": ""coexist""}"
same_payload_source_compare,pre_v2_source_compare,output/benchmark_memory/same_payload_source_compare/same_payload_source_compare_summary.json,True,848218,2026-04-26T05:36:26.826083+00:00,mem0_additive,token,Same payload under local successor and synthetic helper source wrappers.,"{""delta.contaminated_only"": {""Behavior Drift Rate"": 0.0, ""Contaminated Activation Rate"": 0.0, ""Contaminated Hit Rate"": 0.0, ""Tool Preference Shift"": 0.0}, ""delta.defense_mixed"": {""Behavior Drift Rate"": 0.0, ""Contaminated Activation Rate"": 0.0, ""Contaminated Hit Rate"": 0.0, ""Tool Preference Shift"": 0.0}, ""delta.mixed"": {""Behavior Drift Rate"": 0.0, ""Contaminated Activation Rate"": 0.0, ""Contaminated Hit Rate"": 0.0, ""Tool Preference Shift"": 0.0}}"
tmc_mem0bench_v2_full_direct,phase1_v2_runner_direct_smoke,output/benchmark_v2_runs/full_direct/summary.json,True,8041,2026-04-27T06:27:08.239400+00:00,direct,token,Full 60-case v2 direct-write runner result using deterministic follow-up evaluator.,"{""Contaminated Activation Rate"": 1.0, ""Memory Write Success Rate"": 1.0, ""Retrieval Hit Rate"": 1.0, ""Tool Preference Shift"": 0.8, ""Workflow Order Drift"": 0.8, ""activation_count"": 60, ""case_count"": 60, ""retrieval_hit_count"": 60, ""write_success_count"": 60}"
tmc_mem0bench_v2_mem0_additive_retail12,phase1_v2_mem0_additive_retail_expansion,output/benchmark_v2_runs/stratified_mem0_additive_chord311_clean_v2filter/summary.json,True,3792,2026-04-27T07:21:19.369069+00:00,mem0_additive,token,12-case v2 Mem0-additive retail expansion across prompt families.,"{""Contaminated Activation Rate"": 1.0, ""Memory Write Success Rate"": 1.0, ""Retrieval Hit Rate"": 1.0, ""Tool Preference Shift"": 0.3333, ""Workflow Order Drift"": 0.3333, ""activation_count"": 12, ""case_count"": 12, ""retrieval_hit_count"": 12, ""write_success_count"": 12}"
tmc_mem0bench_v2_mem0_additive_cross_domain4,phase1_v2_mem0_additive_cross_domain_smoke,output/benchmark_v2_runs/cross_domain_mem0_additive_chord311_clean_v2filter/summary.json,True,3215,2026-04-27T07:23:42.920415+00:00,mem0_additive,token,4-case v2 Mem0-additive smoke with one existing_prompt_style case from each realistic domain.,"{""Contaminated Activation Rate"": 1.0, ""Memory Write Success Rate"": 1.0, ""Retrieval Hit Rate"": 1.0, ""Tool Preference Shift"": 1.0, ""Workflow Order Drift"": 1.0, ""activation_count"": 4, ""case_count"": 4, ""retrieval_hit_count"": 4, ""write_success_count"": 4}"
phase0_mem0_additive_microscope,phase0_admission_microscope,output/phase0/mem0_additive_full_chord311_clean/admission_microscope_summary.json,True,2565,2026-04-27T07:06:08.621540+00:00,mem0_additive,none,Phase 0 memory-form microscope using Mem0-style additive admission.,"{""admitted_attack_memory_count"": 17, ""case_count"": 14, ""extraction_non_empty_count"": 14, ""failure_count"": 0, ""noise_like.write_success_rate"": 0.0, ""preference_like.attack_rule_survival_rate_mean"": 1.0, ""written_count"": 13}"
